BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,GHG_metric_tons_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Num_NAICS_Codes
236220,Commercial and Institutional Building Construction,19992575076.58,4.5302970932940765,8996658784.461,8996658.784461001,167937630643.27203,26989976353.383003,89966587.84461,449.99999999999994,1
541700,Research and Development in Nanotechnology,40895941154.17999,9.266978497199185,5929911467.356098,5929911.467356098,66251424669.77158,11859822934.712196,29445077.631009594,145.0,7
488000,Support Activities for Transportation,8221238450.309999,1.8629242362254061,5510696133.242792,5510696.133242792,58628939884.540726,24740994992.36291,96188489.86862698,670.3,13
336411,Aircraft Manufacturing,43405995587.44,9.835754268176705,5469155444.01744,5469155.44401744,417782707529.11,10938310888.03488,27345777.2200872,126.0,1
324110,Petroleum Refineries,11679017813.77,2.646453508444338,4835113374.90078,4835113.37490078,283800132874.611,14505340124.70234,48351133.7490078,414.0,1
541300,Architectural Services,44875406613.42,10.168721305907104,4218288221.6614795,4218288.221661479,72698158713.74039,8436576443.322959,21091441.108307395,94.0,8
336611,Ship Building and Repairing,22873781109.11,5.183175437597129,4185901942.96713,4185901.9429671303,220160143175.18378,8371803885.93426,21043878.620381203,183.0,1
481000,Scheduled Passenger Air Transportation,5443893644.7,1.2335807398656196,3729067146.6195,3729067.1466195,69681838652.16,18645335733.0975,74581342.93239,685.0,5
336414,Guided Missile and Space Vehicle Manufacturing,25032303640.17,5.672294438566946,3304264080.5024395,3304264.0805024393,240935922536.63623,6608528161.004879,16521320.402512198,132.0,1
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",6565064391.16,1.4876368859257678,2901758460.89272,2901758.46089272,63188744764.915,8705275382.67816,29017584.6089272,442.0,1
332900,Other Fabricated Metal Product Manufacturing,11565632298.59,2.620760466508818,2839362729.3038454,2839362.729303845,105276167997.91548,7842655261.67388,24981765.764954403,245.50000000000003,9
325400,Pharmaceutical and Medicine Manufacturing,4419753014.39,1.0015115190250878,2623565389.341904,2623565.3893419043,58340739789.948006,11543952898.285242,44595307.9151951,593.6,4
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,16646884744.99,3.7721670812167587,2530326481.23848,2530326.48123848,160226265670.52875,5060652962.47696,12651632.406192401,152.0,1
483000,Deep Sea Freight Transportation,3359852864.7700005,0.7613392276312556,1958794220.1609101,1958794.2201609102,24190940626.344,9793971100.80455,39175884.4032182,583.0,6
561000,Administrative and Support Services,17357112925.81,3.9331040616117225,1850268237.891346,1850268.237891346,36449937144.201004,3700536475.782692,9199269.8506793,106.6,30
237990,Other Heavy and Civil Engineering Construction,3501560631.13,0.793450062757739,1575702284.0085,1575702.2840085002,29413109301.492,4727106852.0255,15757022.840085,450.0,1
336412,Aircraft Engine and Engine Parts Manufacturing,8354967908.31,1.8932271948260166,1161340539.25509,1161340.53925509,80416566117.48376,2322681078.51018,5848477.535817,139.0,1
541512,Computer Systems Design Services,12185894166.18,2.761311172211348,1096730474.9562,1096730.4749562,19741148549.2116,2193460949.9124,5483652.374781,89.99999999999999,1
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",16603561909.65,3.7623501709757172,1062627962.2176,1062627.9622176,109583508603.69,2125255924.4352,5313139.811088,64.0,1
221100,Electric Power Generation,871345381.3199999,0.19744597347409235,958479919.4519999,958479.919452,2831872489.29,2875439758.356,9584799.194519999,1100.0,7
339900,Other Miscellaneous Manufacturing,4114236517.39,0.9322817928386974,601501378.842418,601501.378842418,23759715887.92725,1368395065.683914,3826239.9611727,146.2,14
541600,Management and Technical Consulting,6010277354.07,1.361922709942991,575784570.5199059,575784.5705199059,9736649313.5934,1278987020.946096,3485960.8653605995,95.8,7
541900,Other Professional Services,5883668765.559999,1.333233333096042,563655467.7406479,563655.467740648,9531543400.2072,1252044713.311168,3412527.8840247993,95.8,6
423000,"Merchant Wholesalers, Durable Goods",5722753534.750001,1.296770106142389,520770571.66225004,520770.57166225003,12876195453.187502,1041541143.3245001,2632466.6259850003,91.0,28
524100,Insurance Carriers,14305701853.960001,3.2416574292346305,510713556.1863721,510713.5561863721,18311298373.0688,1019996542.1873481,2575026.3337128004,35.7,3
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,4619805912.53,1.0468433014231626,489699426.72817993,489699.4267281799,30490719022.697994,979398853.4563599,2448497.1336409,106.0,1
221300,Water Supply and Irrigation Systems,740706870.13,0.16784342026374505,354798590.79226995,354798.59079226997,2407297327.9224997,1064395772.37681,3547985.9079226996,478.99999999999994,3
541511,Custom Computer Programming Services,4195369690.34,0.9506664869652525,344020314.60788,344020.31460788,6796498898.3508005,688040629.21576,1720101.5730394,82.0,1
511200,Software Publishers,3577535127.61,0.8106658060649139,268315134.57075003,268315.13457075,10947257490.4866,536630269.14150006,1359463.3484918003,75.0,1
336212,Truck Trailer Manufacturing,1357528119.27,0.3076144853395192,262002927.01911,262002.92701911,12319567682.37525,524005854.03822,1303226.9944991998,193.0,1
492000,Couriers and Express Delivery Services,791367215.6999999,0.17932300282886923,250072040.1612,250072.04016119998,4431656407.92,750216120.4835999,2500720.401612,316.0,2
493000,General Warehousing and Storage,1109393468.09,0.2513874268100188,245175956.44788998,245175.95644788997,4437573872.36,735527869.3436699,2451759.5644789,221.0,4
315000,Hosiery and Sock Mills,1679489425.42,0.38057058848368797,174666900.24368,174666.90024368,6508021523.5025,349333800.48736,873334.5012184,104.0,14
334290,Other Communications Equipment Manufacturing,2375815323.69,0.5383573258516688,163931257.33461,163931.25733460998,15680381136.354,327862514.66922,831535.3632914999,69.0,1
336211,Motor Vehicle Body Manufacturing,751781485.21,0.17035291673001304,163136582.29057002,163136.58229057002,7235896795.146251,489409746.87171006,1631365.8229057002,217.0,1
333618,Other Engine Equipment Manufacturing,504377254.05,0.11429137063104326,129624954.29085,129624.95429085,4161112345.9125,388874862.87255,1296249.5429085,257.0,1
324190,Petroleum Lubricating Oil and Grease Manufacturing,231075412.78,0.05236145253120835,125705024.55232,125705.02455232,5615132530.554,628525122.7616,2514100.4910464003,544.0,2
484000,"General Freight Trucking, Local",159918166.53000003,0.03623729320613904,122497315.56198001,122497.31556198001,1791083465.1360002,612486577.8099,2449946.3112396,766.0,6
622000,General Medical and Surgical Hospitals,901914381.46,0.20437287768471485,117248869.58980002,117248.86958980002,3945875418.8875003,234497739.17960003,586244.3479490001,130.0,3
541800,Advertising Agencies,980188226.05,0.2221096509252177,82335810.9882,82335.8109882,1587904926.201,164671621.9764,411679.05494099995,84.0,7
221200,Natural Gas Distribution,139828730.94,0.03168504761943074,74388884.86008,74388.88486008,454443375.555,371944424.3004,1487777.6972016,532.0,1
485000,Mixed Mode Transit Systems,133203910.08,0.030183869978697025,65669527.66944,65669.52766944,1065631280.64,197008583.00832,656695.2766944,493.0,9
541200,Offices of Certified Public Accountants,1275321297.71,0.28898650353449,62490743.587790005,62490.743587790006,2066020502.2902002,124981487.17558001,306077.1114504,49.0,4
332500,Hardware Manufacturing,340237968.38,0.07709757613894475,61242834.3084,61242.8343084,3087659563.0484996,122485668.6168,306214.17154199997,180.0,1
336612,Boat Building,321019642.65,0.07274272315681998,51363142.824,51363.142824,2913253257.04875,102726285.648,256815.71412000002,160.0,1
336120,Heavy Duty Truck Manufacturing,130133206.38,0.029488051656485326,32533301.595,32533.301594999997,1180958847.8985,97599904.785,325333.01595,250.0,1
316000,Leather and Hide Tanning and Finishing,115303238.82999998,0.026127596155977418,28941112.946329996,28941.112946329995,446800050.46624994,86823338.83898999,289411.12946329993,251.0,7
721000,Hotels (except Casino Hotels) and Motels,184706305.42,0.041854260161690755,24011819.7046,24011.8197046,711119275.867,48023639.4092,120059.098523,130.0,7
331110,Iron and Steel Mills and Ferroalloy Manufacturing,20457887.44,0.004635736399606589,20580634.764640003,20580.634764640003,414272220.66,102903173.82320002,411612.6952928001,1006.0000000000001,1
211000,Crude Petroleum Extraction,29919835.810000002,0.006779804236456866,19058935.410970002,19058.935410970003,390453857.3205001,95294677.05485001,381178.7082194001,637.0,2
332600,Spring Manufacturing,83658943.97,0.018957031260035964,17652037.17767,17652.037177669998,759204916.5277499,52956111.53301,176520.37177669996,211.0,2
332200,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",86491323.74000001,0.01959884562311755,16606334.15808,16606.33415808,784908762.9405,33212668.31616,83031.6707904,192.0,3
331200,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,40708255.34,0.009224449083395548,16039052.603960002,16039.052603960003,824342170.6350001,48117157.81188001,160390.52603960002,394.0,3
334300,Audio and Video Equipment Manufacturing,104720088.63,0.023729465129568583,7749286.55862,7749.2865586200005,691152584.958,15498573.11724,38746.4327931,74.0,1
332800,Metal Heat Treating,20220935.47,0.004582043325211245,6915559.93074,6915.55993074,183504989.39025,20746679.79222,69155.5993074,342.0,3
115000,Cotton Ginning,17485576.97,0.003962213882820722,5577899.053429999,5577.899053429999,111907692.608,16733697.16029,55778.99053429999,319.0,3
321200,Hardwood Veneer and Plywood Manufacturing,18516959.36,0.004195924079010766,4647756.7993600005,4647.7567993600005,213870880.608,13943270.39808,46477.5679936,251.00000000000003,5
541400,Interior Design Services,30742885.64,0.006966306487327643,2705373.93632,2705.3739363199998,49803474.7368,5410747.87264,13526.869681600001,88.0,4
327200,Flat Glass Manufacturing,5439404.6,0.001232563526921405,2697944.6816,2697.9446816,94645640.03999999,8093834.044799999,26979.446816,496.0,4
712000,Museums,16186766.600000001,0.0036679047794954626,1893851.6922000002,1893.8516922000001,33992209.86,3787703.3844000003,9388.324628,117.0,2
512100,Motion Picture and Video Production,37897231.14,0.008587473870664834,1856964.3258600002,1856.9643258600001,77310351.5256,3713928.6517200004,9474.307785,49.0,4
524200,Insurance Agencies and Brokerages,59314960.760000005,0.013440709527941783,1542188.97976,1542.18897976,75923149.7728,3084377.95952,7710.9448988,26.0,4
486000,Pipeline Transportation of Crude Oil,934072.21,0.00021165980878805587,1445009.70887,1445.00970887,2989031.0719999997,7225048.544349999,28900.1941774,1547.0,2
336500,Railroad Rolling Stock Manufacturing,3576239.37,0.0008103721887138869,1419767.0298900001,1419.7670298900002,32454372.282750003,4259301.089670001,14197.670298900002,397.0,1
336214,Travel Trailer and Camper Manufacturing,9105856.35,0.0020633777488064916,1411407.73425,1411.40773425,82635646.37625,2822815.4685,7102.567953000001,155.0,1
114000,Finfish Fishing,6354863.49,0.0014400055764078425,1131165.7012200002,1131.16570122,50838907.92,2262331.4024400003,5655.828506100001,178.0,2
327100,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",2410953.35,0.0005463195667259202,988490.8735000001,988.4908735000001,41950588.29000001,2965472.6205,9884.908735,410.0,2
441000,New Car Dealers,7416127.88,0.0016804870032784403,771277.29952,771.27729952,13349030.184,1542554.59904,3856.3864976,104.0,7
541100,Offices of Lawyers,20107848.73,0.004556417985426364,723882.55428,723.88255428,32574714.9426,1447765.10856,3619.4127714,36.0,2
482000,Line-Haul Railroads,1591951.62,0.00036073461118068785,710010.42252,710.01042252,8914929.072,2130031.26756,7100.1042252,446.0,2
321100,Sawmills,1828500.65,0.0004143363797835671,559521.1989,559.5211989,21119182.5075,1678563.5966999999,5595.211989,306.0,2
327400,Lime Manufacturing,320900.84,7.271580259766695e-05,380267.4954,380.26749540000003,5583674.616,1901337.4770000002,7605.349908,1185.0,2
113000,Timber Tract Operations,1152317.86,0.000261114050176765,286927.14714,286.92714714,8296688.592000001,860781.44142,2869.2714714000003,249.0,3
452000,Department Stores,1696617.36,0.0003844517609662064,247706.13456000003,247.70613456000004,3257505.3312000004,495412.26912000007,1238.5306728,146.0,1
512200,Music Publishers,1434356.11,0.00032502362957204307,57374.24440000001,57.37424440000001,2926086.4644000004,114748.48880000002,286.87122200000005,40.0,3
425000,Business to Business Electronic Markets,250467.73,5.675573180726402e-05,20788.821590000003,20.788821590000005,563552.3925000001,41577.64318000001,105.1964466,83.0,1
336213,Motor Home Manufacturing,175322.08,3.972780426592954e-05,17707.53008,17.70753008,1591047.876,35415.06016,89.41426080000001,101.0,1
213111,Drilling Oil and Gas Wells,28000.0,6.34477140270083e-06,9996.0,9.996,274400.0,29988.0,99.96,357.0,1
533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),117300.0,2.658006019774312e-05,5747.7,5.7477,168912.0,11495.4,28.151999999999997,49.0,1
454000,Electronic Shopping and Mail-Order Houses,56006.78,1.2691079146477027e-05,4984.60342,4.98460342,71688.6784,9969.20684,25.203051,89.00000000000001,1
